biochemical.chemicalFormula	biochemical.clearance	biochemical.halfLife	biochemical.molecularWeight	biochemical.smiles	biochemical.state	biochemical.volumeOfDistribution	enzymes.PIds	enzymes.genes	enzymes.names	externalLinks	externalLinks.BindingDB	externalLinks.ChEBI	externalLinks.ChEMBL	externalLinks.ChemSpider	externalLinks.Drugs.com	externalLinks.Guide to Pharmacology	externalLinks.Human Metabolome Database	externalLinks.KEGG Compound	externalLinks.KEGG Drug	externalLinks.PDBe Ligand	externalLinks.PDRhealth	externalLinks.PharmGKB	externalLinks.PubChem Compound	externalLinks.PubChem Substance	externalLinks.RxList	externalLinks.RxNav	externalLinks.Therapeutic Targets Database	externalLinks.Wikipedia	externalLinks.ZINC	general.brandNames	general.genericName	general.groups	general.id	general.inChI	general.inChIKey	general.maxPhase	general.summary	general.toxicity	general.type	pathways.links	pathways.names	propertiesAdmet	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Rat acute toxicity	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesExperimental	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point (°C)	propertiesExperimental.logP	propertiesExperimental.logS	propertiesExperimental.melting point (°C)	propertiesExperimental.pKa	propertiesExperimental.water solubility	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.Hydrogen Acceptor Count	propertiesPredicted.Hydrogen Donor Count	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polar Surface Area	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Rotatable Bond Count	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesPredicted.Water Solubility	propertiesPredicted.logP	propertiesPredicted.logS	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	targets.PIds	targets.genes	targets.names
C6H8N2O8	Not Available	1 hour	236.1363	[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O	Solid	2 to 4 L/kg	P05181	CYP2E1	1. Cytochrome P450 2E1			6061	CHEMBL6622	6619	Drugs.com Drug Page		HMDB0015021	C07456	D00516		PDRhealth Drug Page	PA450125	6883	46506412	RxList Drug Page	6058	DAP001057	Isosorbide_dinitrate	ZINC000018089317	Bidil, Dilatrate, Isordil	Isosorbide dinitrate	Approved, Investigational	DB00883	InChI=1S/C6H8N2O8/c9-7(10)15-3-1-13-6-4(16-8(11)12)2-14-5(3)6/h3-6H,1-2H2/t3-,4+,5-,6-/m1/s1	MOYKHGMNXAOIAT-JGWLITMVSA-N	4	Isosorbide dinitrate is a vasodilator used to treat angina in coronary artery disease.	Symptoms of overdose include reduced cardiac output and hypotension.	Small Molecule				Non AMES toxic	Ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Non-substrate	2.4849 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor					1.31	-2.63	70 °C		550 mg/L (at 25 °C)	1	Yes	8	0	No	2	0	123.2 Å2	18.15 Å3	42.76 m3·mol-1	4	Yes	No	0.938 mg/mL	-0.0096	-2.4		-4.2	P16066	NPR1	1. Atrial natriuretic peptide receptor 1
C20H34AuO9PS	Not Available	Not Available	678.484	CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O	Solid	Not Available					50153291	2922	CHEMBL1366	5293650	Drugs.com Drug Page		HMDB0015130		D00237		PDRhealth Drug Page	PA448510	70788951	46507010		1227	DAP000757	Auranofin		Ridaura	Auranofin	Approved, Investigational	DB00995	InChI=1S/C14H20O9S.C6H15P.Au/c1-6(15)19-5-10-11(20-7(2)16)12(21-8(3)17)13(14(24)23-10)22-9(4)18;1-4-7(5-2)6-3;/h10-14,24H,5H2,1-4H3;4-6H2,1-3H3;/q;;+1/p-1/t10-,11-,12+,13-,14+;;/m1../s1	AUJRCFUBUPVWSZ-XTZHGVARSA-M	2	Auranofin is an antirheumatic used to treat active, progressive, or destructive forms of inflammatory arthritis.	Oral, rat: LD50 = > 2000 mg/kg. Symptoms of overdose may include diarrhoea, vomiting, abdominal cramps, and symptoms of hypersensitivity (such as skin rash, hives, itching, and difficulty breathing).	Small Molecule				AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Inhibitor	Non-inhibitor	Non-substrate	3.1438 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor							110-111			0	No	5	0	No	1	0	114.43 Å2	50.82 Å3	114.88 m3·mol-1	15	No	No	0.151 mg/mL	-1	-3.6		-4.3	P30044;!O14920	PRDX5;!IKBKB	1. Peroxiredoxin-5, mitochondrial;!2. Inhibitor of nuclear factor kappa-B kinase subunit beta
C5H13O14P3	Not Available	Not Available	390.0696	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	Solid	Not Available					25315	17111		7062			HMDB0000280	C00119		PRP			7339	46506467					ZINC000008215630		5-O-phosphono-alpha-D-ribofuranosyl diphosphate	Approved, Experimental, Investigational	DB01632	InChI=1S/C5H13O14P3/c6-3-2(1-16-20(8,9)10)17-5(4(3)7)18-22(14,15)19-21(11,12)13/h2-7H,1H2,(H,14,15)(H2,8,9,10)(H2,11,12,13)/t2-,3-,4-,5-/m1/s1	PQGCEDQWHSBAJP-TXICZTDVSA-N			Not Available	Small Molecule	http://smpdb.ca/view/SMP0000167?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000220?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000385?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000512?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000518?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000536?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000537?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000031?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000046?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000050?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000072?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000202?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000210?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000339?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000364?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000365?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000428?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000519?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000535?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000048?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000136?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000144?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000168?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000172?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000178?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000203?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000219?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000243?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000427?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632;!http://smpdb.ca/view/SMP0000430?highlight[compounds][]=DB01632&highlight[proteins][]=DB01632	Adenylosuccinate Lyase Deficiency;!Xanthine Dehydrogenase Deficiency (Xanthinuria);!Homocarnosinosis;!Xanthinuria Type I;!Glucose-6-phosphate Dehydrogenase Deficiency;!Mitochondrial DNA Depletion Syndrome;!Myoadenylate Deaminase Deficiency;!Pentose Phosphate Pathway;!Pyrimidine Metabolism;!Purine Metabolism;!Glutamate Metabolism;!MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy);!Purine Nucleoside Phosphorylase Deficiency;!Hyperinsulinism-Hyperammonemia Syndrome;!Lesch-Nyhan Syndrome (LNS);!Gout or Kelley-Seegmiller Syndrome;!Mercaptopurine Action Pathway;!Ribose-5-phosphate Isomerase Deficiency;!Adenine Phosphoribosyltransferase Deficiency (APRT);!Nicotinate and Nicotinamide Metabolism;!2-Hydroxyglutric Aciduria (D and L Form);!Adenosine Deaminase Deficiency;!AICA-Ribosiduria;!beta-Ureidopropionase Deficiency;!Dihydropyrimidinase Deficiency;!Molybdenum Cofactor Deficiency;!UMP Synthase Deficiency (Orotic Aciduria);!4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency;!Azathioprine Action Pathway;!Thioguanine Action Pathway		Non AMES toxic	Ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.0708 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	11	7	No	1	-4	229.74 Å2	27.46 Å3	62.58 m3·mol-1	7	No	No	11.6 mg/mL	-3	-1.5	1.09	-3.7	P00492;!P08870;!Q9NWZ5;!Q27796;!P07741;!Q8VP84	HPRT1;!pyrE;!UCKL1;!HGPRTase;!APRT;!trpD	1. Hypoxanthine-guanine phosphoribosyltransferase;!2. Orotate phosphoribosyltransferase;!3. Uridine-cytidine kinase-like 1;!4. Hypoxanthine-guanine phosphoribosyltransferase;!5. Adenine phosphoribosyltransferase;!6. Anthranilate phosphoribosyltransferase
C21H30N10O17P3	Not Available	Not Available	787.441	CN1C=[N+]([C@@H]2O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N)N=CN=C34)[C@@H](O)[C@H]2O)C2=C1C(=O)N=C(N)N2	Solid	Not Available								393721						GTA			446336	46507224					ZINC000096006025		7-methyl-GpppA	Experimental	DB01649	InChI=1S/C21H29N10O17P3/c1-29-6-31(17-10(29)18(36)28-21(23)27-17)20-14(35)12(33)8(46-20)3-44-50(39,40)48-51(41,42)47-49(37,38)43-2-7-11(32)13(34)19(45-7)30-5-26-9-15(22)24-4-25-16(9)30/h4-8,11-14,19-20,32-35H,2-3H2,1H3,(H7-,22,23,24,25,27,28,36,37,38,39,40,41,42)/p+1/t7-,8-,11-,12-,13-,14-,19-,20-/m1/s1	QQOHNVHGNZYSBP-XPWFQUROSA-O			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	2.7349 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	20	10	Yes	6	-2	394.11 Å2	66.5 Å3	161.42 m3·mol-1	12	No	No	2.89 mg/mL	-11	-2.4	0.91	4.93	Q96C86;!P06730	DCPS;!EIF4E	1. m7GpppX diphosphatase;!2. Eukaryotic translation initiation factor 4E
C15H25N5O20P4	Not Available	Not Available	719.2755	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN(C1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C2=N	Solid	Not Available						18263		21864848				C02739		PRT			16019963	46507757							1-(5-phospho-D-ribosyl)-ATP	Experimental	DB01661	InChI=1S/C15H25N5O20P4/c16-12-7-13(18-4-19(12)14-10(23)8(21)5(37-14)1-35-41(25,26)27)20(3-17-7)15-11(24)9(22)6(38-15)2-36-43(31,32)40-44(33,34)39-42(28,29)30/h3-6,8-11,14-16,21-24H,1-2H2,(H,31,32)(H,33,34)(H2,25,26,27)(H2,28,29,30)/t5-,6-,8-,9-,10-,11-,14?,15-/m1/s1	RKNHJBVBFHDXGR-MRUDJCSFSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.3619 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	20	11	Yes	4	-5	383.23 Å2	57.34 Å3	144.29 m3·mol-1	12	No	No	9.92 mg/mL	-5	-1.9	1.1	0.6	P60757	hisG	1. ATP phosphoribosyltransferase
C6H12O24S6	Not Available	Not Available	660.535	[H][C@]1(OS(O)(=O)=O)[C@]([H])(OS(O)(=O)=O)[C@@]([H])(OS(O)(=O)=O)[C@]([H])(OS(O)(=O)=O)[C@]([H])(OS(O)(=O)=O)[C@]1([H])OS(O)(=O)=O	Solid	Not Available					50191320		CHEMBL3945401	18786070						IHS			65302	46508928							D-Myo-Inositol-Hexasulphate	Experimental	DB01666	InChI=1S/C6H12O24S6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H,7,8,9)(H,10,11,12)(H,13,14,15)(H,16,17,18)(H,19,20,21)(H,22,23,24)/t1-,2-,3-,4+,5-,6-	NBTMNFYXJYCQHQ-GPIVLXJGSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Carcinogens	+	Non-inhibitor	Non-inhibitor	Non-substrate	2.0402 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	18	6	No	1	-6	381.6 Å2	47.3 Å3	95.73 m3·mol-1	12	No	No	0.394 mg/mL	-3.5	-3.2	-3.5		Q7WUJ1;!P19883	phyA;!FST	1. Myo-inositol hexaphosphate phosphohydrolase;!2. Follistatin
C23H36N4O20P2	Not Available	Not Available	750.4943	C[C@H](NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@@H]1NC(C)=O)C(O)=O	Solid	Not Available						84726		4593506				C01212		UMA			5496796	46507193					ZINC000085545647		Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine	Experimental	DB01673	InChI=1S/C23H36N4O20P2/c1-8(21(35)36)24-19(34)9(2)43-18-14(25-10(3)29)22(45-11(6-28)16(18)32)46-49(40,41)47-48(38,39)42-7-12-15(31)17(33)20(44-12)27-5-4-13(30)26-23(27)37/h4-5,8-9,11-12,14-18,20,22,28,31-33H,6-7H2,1-3H3,(H,24,34)(H,25,29)(H,35,36)(H,38,39)(H,40,41)(H,26,30,37)/t8-,9+,11+,12+,14+,15+,16+,17+,18+,20+,22+/m0/s1	NTMMCWJNQNKACG-KBKUWGQMSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.4144 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	17	10	Yes	3	-3	355.81 Å2	64.42 Å3	150.18 m3·mol-1	15	No	No	9.58 mg/mL	-5.1	-1.9	1.73	-3.7	P14900;!P45066	murD;!murC	1. UDP-N-acetylmuramoylalanine--D-glutamate ligase;!2. UDP-N-acetylmuramate--L-alanine ligase
C20H27N10O16P3	Not Available	Not Available	756.4071	[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O	Solid	Not Available					50184368	27775	CHEMBL407938	144977				C06197		BA3			165381	46509170					ZINC000008220358		Bis(Adenosine)-5'-Triphosphate	Experimental	DB01690	InChI=1S/C20H27N10O16P3/c21-15-9-17(25-3-23-15)29(5-27-9)19-13(33)11(31)7(43-19)1-41-47(35,36)45-49(39,40)46-48(37,38)42-2-8-12(32)14(34)20(44-8)30-6-28-10-16(22)24-4-26-18(10)30/h3-8,11-14,19-20,31-34H,1-2H2,(H,35,36)(H,37,38)(H,39,40)(H2,21,23,25)(H2,22,24,26)/t7-,8-,11-,12-,13-,14-,19-,20-/m1/s1	QCICUPZZLIQAPA-XPWFQUROSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.8102 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	20	9	Yes	6	-3	387.44 Å2	62.98 Å3	155.23 m3·mol-1	12	No	No	4.39 mg/mL	-10	-2.2	0.89	5.23	P0A6I9	coaE	1. Dephospho-CoA kinase
C18H32O16	Not Available	Not Available	504.4371	[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O	Solid	Not Available						41753		389778				C06219					440950	46507144					ZINC000008220386		beta-cellotriose	Experimental	DB01697	InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16-,17+,18+/m1/s1	FYGDTMLNYKFZSV-CSHPIKHBSA-N			Not Available	Small Molecule																																			0	No	16	11	Yes	3	0	268.68 Å2	47.52 Å3	100.75 m3·mol-1	7	No	No	554.0 mg/mL	-6.5	0.04	11.22	-3.6			
C14H22N2O16P2	Not Available	Not Available	536.2758	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O	Solid	Not Available						16082		18152						UDX			19235	46508749					ZINC000008551129		UDP-alpha-D-xylose	Experimental	DB01713	InChI=1S/C14H22N2O16P2/c17-5-3-28-13(11(22)8(5)19)31-34(26,27)32-33(24,25)29-4-6-9(20)10(21)12(30-6)16-2-1-7(18)15-14(16)23/h1-2,5-6,8-13,17,19-22H,3-4H2,(H,24,25)(H,26,27)(H,15,18,23)/t5-,6-,8+,9-,10-,11-,12-,13-/m1/s1	DQQDLYVHOTZLOR-OCIMBMBZSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.3521 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	13	8	Yes	3	-2	271.31 Å2	42.12 Å3	100.49 m3·mol-1	8	No	No	13.6 mg/mL	-4.4	-1.6	1.73	-3.5	P0C0F4	hasB	1. UDP-glucose 6-dehydrogenase
C20H29N10O22P5	Not Available	Not Available	916.3669	[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O	Solid	Not Available					50435017	28898	CHEMBL437508	389195				C04058		AP5			440210	46505205					ZINC000096085195		Bis(Adenosine)-5'-Pentaphosphate	Experimental	DB01717	InChI=1S/C20H29N10O22P5/c21-15-9-17(25-3-23-15)29(5-27-9)19-13(33)11(31)7(47-19)1-45-53(35,36)49-55(39,40)51-57(43,44)52-56(41,42)50-54(37,38)46-2-8-12(32)14(34)20(48-8)30-6-28-10-16(22)24-4-26-18(10)30/h3-8,11-14,19-20,31-34H,1-2H2,(H,35,36)(H,37,38)(H,39,40)(H,41,42)(H,43,44)(H2,21,23,25)(H2,22,24,26)/t7-,8-,11-,12-,13-,14-,19-,20-/m1/s1	OIMACDRJUANHTJ-XPWFQUROSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.8102 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	24	11	Yes	6	-5	480.5 Å2	72.11 Å3	176.98 m3·mol-1	16	No	No	6.92 mg/mL	-10	-2.1	0.23	4.97	P16304;!P27142;!P84139;!P54819;!Q96MA6;!P69441;!P00568	adk;!adk;!adk;!AK2;!AK8;!adk;!AK1	1. Adenylate kinase;!2. Adenylate kinase;!3. Adenylate kinase;!4. Adenylate kinase 2, mitochondrial;!5. Adenylate kinase 8;!6. Adenylate kinase;!7. Adenylate kinase isoenzyme 1
C6H15O15P3	Not Available	Not Available	420.0956	O[C@@H]1[C@@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H](O)[C@H]1OP(O)(O)=O	Solid	Not Available						18228	CHEMBL329137	388561			HMDB0001143	C01243		I3S			439455	46506250					ZINC000004095596		1D-myo-inositol 1,3,4-trisphosphate	Experimental	DB01729	InChI=1S/C6H15O15P3/c7-1-2(8)5(20-23(13,14)15)6(21-24(16,17)18)3(9)4(1)19-22(10,11)12/h1-9H,(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)/t1-,2-,3+,4+,5+,6+/m1/s1	MMWCIQZXVOZEGG-MLQGYMEPSA-N			Not Available	Small Molecule	http://smpdb.ca/view/SMP0000011?highlight[compounds][]=DB01729&highlight[proteins][]=DB01729;!http://smpdb.ca/view/SMP0000462?highlight[compounds][]=DB01729&highlight[proteins][]=DB01729	Inositol Metabolism;!Inositol Phosphate Metabolism		Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	2.1296 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	12	9	No	1	-6	260.97 Å2	29.73 Å3	68.39 m3·mol-1	6	No	No	14.8 mg/mL	-4.2	-1.4	0.54	-3.7			
C21H29N7O18P3	Not Available	Not Available	760.4123	NC(=O)[C@H]1C=[N+](C=CC1=O)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	Solid	Not Available								25057817						ODP			49867432	46505149					ZINC000263620886		4-oxo-nicotinamide-adenine dinucleotide phosphate	Experimental	DB01753	InChI=1S/C21H28N7O18P3/c22-17-12-19(25-6-24-17)28(7-26-12)21-16(45-47(34,35)36)14(31)11(44-21)5-42-49(39,40)46-48(37,38)41-4-10-13(30)15(32)20(43-10)27-2-1-9(29)8(3-27)18(23)33/h1-3,6-8,10-11,13-16,20-21,30-32H,4-5H2,(H7-,22,23,24,25,33,34,35,36,37,38,39,40)/p+1/t8-,10+,11+,13+,14+,15+,16+,20+,21+/m0/s1	PIXSDSMVQQICPA-BYJCYCELSA-O			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	2.8695 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	18	9	Yes	5	-3	380.99 Å2	63.5 Å3	164.89 m3·mol-1	13	No	No		-9.3		0.66	4.87	P9WIQ3	fprA	1. NADPH-ferredoxin reductase FprA
